ID,Name,Description,Effect,Choice1,Choice1Effect,Choice1Roll,Choice1Success,Choice1Failure,Choice2,Choice2Effect,Choice2Roll,Choice2Success,Choice2Failure
1,Mirror of Versions,"You see a better version of yourself—standing taller, smiling more, untouched by failure. It mouths the words, 'You could’ve been me.'",,Confront them,,6,+2 Sanity,-1 Sanity,Smash the mirror,-1 Hope; gain item: Shard of What Might've Been,,,
2,The Vending Machine of Moral Compromise,"Glowing buttons read: 'Sell your soul.' 'Get chips.' 'Lie to yourself.' The machine hums: 'It’s not that deep.'",,Use the machine,-1 Sanity; gain item: Salted Trauma Chips,,,,Kick it,,>=4,+1 Sanity; gain item: Salted Trauma Chips,-2 Hope
55,The Salt-Tongued Prophet,They scream truths you’re not ready to hear.,"-1 Sanity, reveal 1 tile, gain item: Saltword Scroll"
56,The Tarnished Halo,Once sacred. Now it just feels heavy.,"Gain item: Halo Fragment (+1 Hope, but lose 1 Health every third turn if held)"
57,The Cradle of Static,It rocks an invisible child. The crying won’t stop.,"-1 Sanity"
58,The Maw of Sleep,You feel the yawn crawl up your spine.,"+1 Health, +1 Sanity"
59,The Windowless House,It has walls. No doors. Yet you are inside.,"-1 Health"
60,The Hung Verdict,The sentence was passed. The guilt remains.,"-1 Hope"
61,The Corridor of Crooked Steps,Each step is a question. Each answer twists your ankle.,"-1 Health, +1 Hope"
62,The Screaming Frame,A portrait that only shows you what you were before the guilt.,"-1 Sanity, gain item: Painted Memory"
63,The Casket of Kindness,It holds every favor you never returned.,"+1 Hope, lose 1 item if inventory not empty"
64,The Sleeping Choir,They dream of the day you join them.,"+2 Sanity"
65,Throne of Melted Faces,They weep wax. They smile anyway.,"Gain item: Wax Crown (+1 Hope, -1 Sanity when worn)"
66,The Hungry Cot,The cradle rocks. The teeth beneath it do too.,"-1 Health, +1 Hope"
67,The Vine of Apologies,It wraps tighter with every sorry you didn’t mean.,"-1 Hope, +1 Sanity"
68,The Bleeding Mask,It fits perfectly. Too perfectly.,"-1 Sanity, gain item: Face of Another"
69,The Watcher’s Gallows,Something unseen judges every move you make.,"-1 Hope"
70,The Garden of Apologies,The flowers wilt when you speak.,Gain item: Regret Seed (revive one destroyed item)
71,The Gutless Choir,They sing only from memory. And now they want yours.,"-1 Sanity, reveal a nearby tile"
72,The Lullaby Tomb,It hums a lullaby you recognize but can’t place.,"+1 Hope"
73,The Rotting Marriage,Vows echo through the hollow rings.,"-1 Hope, gain item: Rusted Band"
74,The Freezing Prayer,You mouth words you don’t understand. Your breath crystallizes.,"-1 Health, +1 Sanity"
75,The Nameless Choir,They sing of everyone but you.,"-1 Hope, gain item: Echo Thread"
76,The Shattered Stage,No one claps. You bow anyway.,"Gain item: Splintered Mask, +1 Hope"
77,The Puppeted Pilgrim,It marches forever toward nowhere.,"-1 Sanity"
78,The Candle-Melt Oracle,Drips fall like fate. Burn or be buried.,"-1 Health, gain item: Oracle Wick (once per game, cancel 1 effect)"
79,The Path of Remembered Crimes,Each step recalls a different mistake.,"-1 Hope"
80,The Machine That Regrets,"It ticks, whirs, then sighs. You feel it too.","-1 Sanity"
